AirportName,Latitude,Longitude,Continent,IsoCountry,IsoRegion,City,GpsCode,IataCode
Aérodrome de Pontoise - Cormeilles en Vexin,49.096667,2.040833,EU,FR,FR-IDF,Cormeilles-en-Vexin,LFPT,POX
Aeródromo de Bahía Negra,-20.2246,-58.179528,SA,PY,PY-16,Bahía Negra,SGBN,BFA
Aerodromo de Chaves,41.722356,-7.463064,EU,PT,PT-17,Chaves,LPCH,CHV
Aeródromo de Filadelfia,-22.354611,-60.053211,SA,PY,PY-19,Filadelfia,SGFI,FLM
Aeródromo de Puerto La Victoria,-22.289298,-57.860484,SA,PY,PY-1,Puerto La Victoria,SGLV,PCJ
Aerodromo Goncalves Lobato (Viseu Airport),40.725498,-7.88899,EU,PT,PT-18,Viseu,LPVZ,VSE
Aerodromo Municipal de Coimbra,40.158758,-8.470815,EU,PT,PT-06,Coimbra,LPCO,CBP
Aeroporto Brigadeiro Firmino Ayres,-7.03899,-37.251598,SA,BR,BR-PB,Patos,SNTS,JPO
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",8.122160912,-63.53695679,SA,VE,VE-F,Ciudad Bolivar,SVCB,CBL
Aeropuerto Internacional Adolfo López Mateos,19.338196,-99.570358,NA,MX,MX-MEX,Ciudad de Toluca,MMTO,TLC
Aeropuerto Internacional de Cancún,21.039444,-86.874304,NA,MX,MX-ROO,Ciudad de Cancún,MMUN,CUN
Aeropuerto Internacional de Cozumel,20.511425,-86.930287,NA,MX,MX-ROO,Ciudad de Cozumel,MMCZ,CZM
Aeropuerto Internacional Del Bajío,20.985813,-101.478825,NA,MX,MX-GUA,Ciudad de Silao,MMLO,BJX
Aeropuerto Internacional de Los Cabos,23.15642,-109.716811,NA,MX,MX-BCS,Ciudad de San José del Cabo,MMSD,SJD
Aeropuerto Internacional Dr. Augusto Roberto Fuster,-22.640946,-55.832005,SA,PY,PY-13,Pedro Juan Caballero,SGPJ,PJC
Aeropuerto Internacional Dr. Luis Maria Argaña,-22.032463,-60.620284,SA,PY,PY-19,Mariscal Estigarribia,SGME,ESG
Aeropuerto Internacional Gral. Abelardo Rodriguez,32.545963,-116.975856,NA,MX,MX-BCN,Ciudad de Tijuana,MMTJ,TIJ
"Aeropuerto Internacional Gral, Guadalupe Victoria",24.125908,-104.533904,NA,MX,MX-DUR,Ciudad de Durango,MMDO,DGO
Aeropuerto Internacional Gral. Mariano Escobedo,25.778561,-100.113602,NA,MX,MX-NLE,Ciudad de Apodaca,MMMY,MTY
Aeropuerto Internacional Gral. Rafael Buelna,23.166689,-106.270151,NA,MX,MX-SIN,Ciudad de Mazatlàn,MMMZ,MZT
Aeropuerto Internacional Guaraní,-25.457186,-54.839544,SA,PY,PY-10,Ciudad del Este,SGES,AGT
Aeropuerto Internacional Juan N. Álvarez,16.762118,-99.755473,NA,MX,MX-GRO,Ciudad de Acapulco,MMAA,ACA
Aeropuerto Internacional Lic. Benito Juárez,19.435433,-99.082432,NA,MX,MX-DIF,Ciudad de México,MMMX,MEX
Aeropuerto Internacional Lic. Gustavo Díaz Ordaz,20.679746,-105.246685,NA,MX,MX-JAL,Ciudad de Puerto Vallarta,MMPR,PVR
Aeropuerto Internacional Manuel Crescencio Rejón,20.933384,-89.662621,NA,MX,MX-YUC,Ciudad de Mérida,MMMD,MID
Aeropuerto Internacional Miguel Hidalgo,20.52504,-103.301557,NA,MX,MX-JAL,Ciudad de Tlajomulco de Zúñiga,MMGL,GDL
Aeropuerto Internacional Silvio Pettirossi,-25.241736,-57.514104,SA,PY,PY-11,Luque,SGAS,ASU
Aeropuerto Nacional Carlos Miguel Gimenez,-26.882086,-58.318809,SA,PY,PY-12,Pilar,SGPI,PIL
