airline_id,name,iata,icao,callsign,country,logo_svg_url,logo_png_url
930,Avilu,..,...,Null,Switzerland,https://d26to83vtzzpey.cloudfront.net/...svg,https://d39ferq6cuvala.cloudfront.net/...png
931,Air Serbia,JU,ASL,AIR SERBIA,Serbia,https://d26to83vtzzpey.cloudfront.net/JU.svg,https://d39ferq6cuvala.cloudfront.net/JU.png
932,Air Lituanica,LT,LTU,LITUANICA,Lithuania,https://d26to83vtzzpey.cloudfront.net/LT.svg,https://d39ferq6cuvala.cloudfront.net/LT.png
933,Rainbow Air (RAI),RN,RAB,Rainbow,United States,https://d26to83vtzzpey.cloudfront.net/RN.svg,https://d39ferq6cuvala.cloudfront.net/RN.png
934,Rainbow Air Canada,RY,RAY,Rainbow CAN,Canada,https://d26to83vtzzpey.cloudfront.net/RY.svg,https://d39ferq6cuvala.cloudfront.net/RY.png
935,Rainbow Air Polynesia,RX,RPO,Rainbow Air,United States,https://d26to83vtzzpey.cloudfront.net/RX.svg,https://d39ferq6cuvala.cloudfront.net/RX.png
936,Rainbow Air Euro,RU,RUE,Rainbow Air,United Kingdom,https://d26to83vtzzpey.cloudfront.net/RU.svg,https://d39ferq6cuvala.cloudfront.net/RU.png
937,Rainbow Air US,RM,RNY,Rainbow Air,United States,https://d26to83vtzzpey.cloudfront.net/RM.svg,https://d39ferq6cuvala.cloudfront.net/RM.png
938,Dobrolet,QD,DOB,DOBROLET,Russia,https://d26to83vtzzpey.cloudfront.net/QD.svg,https://d39ferq6cuvala.cloudfront.net/QD.png
939,Spike Airlines,S0,SAL,Spike Air,United States,https://d26to83vtzzpey.cloudfront.net/S0.svg,https://d39ferq6cuvala.cloudfront.net/S0.png
940,All Argentina,L1,AL1,Null,Argentina,https://d26to83vtzzpey.cloudfront.net/L1.svg,https://d39ferq6cuvala.cloudfront.net/L1.png
941,All America,A2,AL2,Null,United States,https://d26to83vtzzpey.cloudfront.net/A2.svg,https://d39ferq6cuvala.cloudfront.net/A2.png
942,All Asia,L9,AL3,Null,China,https://d26to83vtzzpey.cloudfront.net/L9.svg,https://d39ferq6cuvala.cloudfront.net/L9.png
943,All Africa,9A,99F,Null,South Africa,https://d26to83vtzzpey.cloudfront.net/9A.svg,https://d39ferq6cuvala.cloudfront.net/9A.png
944,Regionalia México,N4,J88,Null,Mexico,https://d26to83vtzzpey.cloudfront.net/N4.svg,https://d39ferq6cuvala.cloudfront.net/N4.png
945,All Europe,N9,N99,Null,United Kingdom,https://d26to83vtzzpey.cloudfront.net/N9.svg,https://d39ferq6cuvala.cloudfront.net/N9.png
946,All Spain,N7,N77,Null,Spain,https://d26to83vtzzpey.cloudfront.net/N7.svg,https://d39ferq6cuvala.cloudfront.net/N7.png
947,Regional Air Iceland,9N,N78,Null,Iceland,https://d26to83vtzzpey.cloudfront.net/9N.svg,https://d39ferq6cuvala.cloudfront.net/9N.png
948,Voestar,8K,K88,Null,Brazil,https://d26to83vtzzpey.cloudfront.net/8K.svg,https://d39ferq6cuvala.cloudfront.net/8K.png
949,All Colombia,7O,7KK,Null,Colombia,https://d26to83vtzzpey.cloudfront.net/7O.svg,https://d39ferq6cuvala.cloudfront.net/7O.png
950,Regionalia Uruguay,2X,2K2,Null,Uruguay,https://d26to83vtzzpey.cloudfront.net/2X.svg,https://d39ferq6cuvala.cloudfront.net/2X.png
951,Regionalia Venezuela,9X,9XX,Null,Venezuela,https://d26to83vtzzpey.cloudfront.net/9X.svg,https://d39ferq6cuvala.cloudfront.net/9X.png
952,Regionalia Chile,9J,CR1,Null,Chile,https://d26to83vtzzpey.cloudfront.net/9J.svg,https://d39ferq6cuvala.cloudfront.net/9J.png
953,Vuela Cuba,6C,6CC,Null,Cuba,https://d26to83vtzzpey.cloudfront.net/6C.svg,https://d39ferq6cuvala.cloudfront.net/6C.png
954,All Australia,88,8K8,Null,Australia,https://d26to83vtzzpey.cloudfront.net/88.svg,https://d39ferq6cuvala.cloudfront.net/88.png
955,Fly Europa,ER,RWW,Null,Spain,https://d26to83vtzzpey.cloudfront.net/ER.svg,https://d39ferq6cuvala.cloudfront.net/ER.png
956,FlyPortugal,PO,FPT,FlyPortugal,Portugal,https://d26to83vtzzpey.cloudfront.net/PO.svg,https://d39ferq6cuvala.cloudfront.net/PO.png
957,Spring Airlines Japan,IJ,SJO,Null,Japan,https://d26to83vtzzpey.cloudfront.net/IJ.svg,https://d39ferq6cuvala.cloudfront.net/IJ.png
958,Dense Airways,KP,DWA,DENSE,United States,https://d26to83vtzzpey.cloudfront.net/KP.svg,https://d39ferq6cuvala.cloudfront.net/KP.png
959,Dense Connection,KZ,DC2,DC2,United States,https://d26to83vtzzpey.cloudfront.net/KZ.svg,https://d39ferq6cuvala.cloudfront.net/KZ.png
960,Vuola Italia,4S,VI4,Null,Italy,https://d26to83vtzzpey.cloudfront.net/4S.svg,https://d39ferq6cuvala.cloudfront.net/4S.png
961,Island Express Air,1X,\N,Abby Air,Canada,https://d26to83vtzzpey.cloudfront.net/1X.svg,https://d39ferq6cuvala.cloudfront.net/1X.png
962,All Argentina Express,Z0,Z9H,Null,Argentina,https://d26to83vtzzpey.cloudfront.net/Z0.svg,https://d39ferq6cuvala.cloudfront.net/Z0.png
963,Thai Smile Airways,WE,\N,THAI SMILE,Thailand,https://d26to83vtzzpey.cloudfront.net/WE.svg,https://d39ferq6cuvala.cloudfront.net/WE.png
964,International AirLink,I4,\N,Null,Jamaica,https://d26to83vtzzpey.cloudfront.net/I4.svg,https://d39ferq6cuvala.cloudfront.net/I4.png
965,Real Tonga,RT,\N,Null,Tonga,https://d26to83vtzzpey.cloudfront.net/RT.svg,https://d39ferq6cuvala.cloudfront.net/RT.png
966,All America AR,2R,M7A,Null,Argentina,https://d26to83vtzzpey.cloudfront.net/2R.svg,https://d39ferq6cuvala.cloudfront.net/2R.png
967,All America CL,1R,R1R,Null,Chile,https://d26to83vtzzpey.cloudfront.net/1R.svg,https://d39ferq6cuvala.cloudfront.net/1R.png
968,SOCHI AIR EXPRESS,Q4,SAE,ADLER EXPRESS,Russia,https://d26to83vtzzpey.cloudfront.net/Q4.svg,https://d39ferq6cuvala.cloudfront.net/Q4.png
